Unique ID,Agency Name,Bureau Name,Program Name,Category,Subcategory,Project Name,City,County,State,Funding Amount Excluding Loans,Funding Source,Program Type,Project on Map,Historic ID,GEO_ID,Total_Population,One_Race,White_Alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_Other_Race_alone,Population_of_two_or_more_races,Median_household_income
7370,Department of Commerce,National Oceanic and Atmospheric Administration,Fish Passage,Other,Other,Fish Passage: Braintree,braintree,Norfolk,Massachusetts,2000000.0,BIL,Discretionary,Y,P-7577,0600000US2502107740,39143,36779,27698,1330,69,6750,9,923,2364,101544
27041,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,braintree,Norfolk,Massachusetts,76390.0,BIL,Both,N,A-7082,0600000US2502107740,39143,36779,27698,1330,69,6750,9,923,2364,101544
3977,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Inland Flood Risk Management Projects,Resilience,Resilience,"East Brimfield Lake, MA",brimfield,Worcester,Massachusetts,340000.0,BIL,Discretionary,Y,P-3979,0600000US2501308470,3694,3449,3338,28,10,32,0,41,245,75577
27042,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,brockton,Plymouth,Massachusetts,151670.0,BIL,Both,N,A-7083,0600000US2502309000,105643,83827,31074,36951,492,2278,29,13003,21816,62249
13181,Department of Transportation,DOT Office of the Secretary,Local and Regional Project Assistance Grants (RAISE),Transportation,"Roads, Bridges, and Major Projects",Downtown Brockton Infrastructure Improvement Project,brockton,Plymouth,Massachusetts,7843750.0,BIL,Discretionary,Y,P-13777,0600000US2502309000,105643,83827,31074,36951,492,2278,29,13003,21816,62249
13035,Department of Transportation,Federal Transit Administration,Low or No Emission (Bus) Grants,Transportation,Public Transportation,The Brockton Area Transit Authority,brockton,Plymouth,Massachusetts,10694736.0,BIL,Discretionary,Y,P-13631,0600000US2502309000,105643,83827,31074,36951,492,2278,29,13003,21816,62249
16574,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,SS4A Demonstration Grant in Brockton Massachusetts,brockton,Plymouth,Massachusetts,188480.0,BIL,Discretionary,Y,P-17670,0600000US2502309000,105643,83827,31074,36951,492,2278,29,13003,21816,62249
8877,Department of Transportation,DOT Office of the Secretary,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants,Transportation,Public Transportation,Downtown Brockton Transportation Technology Project,brockton,Plymouth,Massachusetts,1496630.0,BIL,Discretionary,Y,P-9130,0600000US2502309000,105643,83827,31074,36951,492,2278,29,13003,21816,62249
27043,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,brookline,Norfolk,Massachusetts,120650.0,BIL,Both,N,A-7084,0600000US2502109175,63191,57845,42233,2069,108,12124,15,1296,5346,113642
18446,Department of Energy,Energy Efficiency and Renewable Energy,Section 243 Hydroelectric Efficiency Improvement Incentives (Sec 40332),"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Hydroelectric Efficiency Improvement Incentives - Massachusetts,buckland,Franklin,Massachusetts,119000.0,BIL,Discretionary,N,P-20397,0600000US2501109595,1816,1718,1684,11,2,8,0,13,98,62643
18804,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Burlington,burlington,Middlesex,Massachusetts,125000.0,BIL,Formula,Y,P-20760,0600000US2501709840,26377,25059,18689,1240,36,4706,4,384,1318,121433
27044,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,cambridge,Middlesex,Massachusetts,182140.0,BIL,Both,N,A-7085,0600000US2501711000,118403,107530,67887,12520,290,22743,54,4036,10873,107490
48762,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Recapitalization",Green and Resilient Retrofit Program - Leading Edge Cohort,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,Roosevelt Towers,cambridge,Middlesex,Massachusetts,4620000.0,IRA,Discretionary,Y,,0600000US2501711000,118403,107530,67887,12520,290,22743,54,4036,10873,107490
43404,Department of Transportation,Federal Highway Administration,Neighborhood Access and Equity Grant Program,Environmental Remediation,Environmental Remediation,A bicycle and pedestrian crossing of the Fitchburg MBTA commuter rail line in north Cambridge,cambridge,Middlesex,Massachusetts,2400000.0,IRA,Discretionary,Y,IRA-7187,0600000US2501711000,118403,107530,67887,12520,290,22743,54,4036,10873,107490
13891,Department of Energy,Energy Efficiency and Renewable Energy,Industrial Research and Assessment Center Implementation Grants,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,"Industrial Research and Assessment Center Implementation Grants - Trillium Brewing Company, LLC",canton,Norfolk,Massachusetts,300000.0,BIL,Discretionary,Y,P-14581,0600000US2502111315,24370,22925,17956,2262,27,2142,11,527,1445,107442
42187,Department of Agriculture,Rural Business-Cooperative Service,Rural Energy for America Program (REAP),"Clean Energy, Buildings, and Manufacturing",Clean Energy,FEDERAL FURNACE CRANBERRY COMPANY,carver,Plymouth,Massachusetts,73800.0,IRA,Discretionary,Y,IRA-6370,0600000US2502311665,11645,11015,10654,112,27,72,2,148,630,61374
14818,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Inland Flood Risk Management Projects,Resilience,Resilience,"Buffumville Lake, MA",charlton,Worcester,Massachusetts,600000.0,BIL,Discretionary,Y,P-15559,0600000US2502712715,13315,12653,12205,133,20,146,3,146,662,102531
3436,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Operation and Maintenance (No-Year),Transportation,Ports and Waterways,"Buffumville Lake, MA",charlton,Worcester,Massachusetts,355000.0,BIL,Discretionary,Y,P-3436,0600000US2502712715,13315,12653,12205,133,20,146,3,146,662,102531
1668,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - Chatham Municipal - CQX,chatham,Barnstable,Massachusetts,159000.0,BIL,Both,Y,P-1668,0600000US2500112995,6594,6419,6093,154,10,51,0,111,175,78491
10248,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - Chatham Municipal - CQX,chatham,Barnstable,Massachusetts,145000.0,BIL,Both,Y,P-10501,0600000US2500112995,6594,6419,6093,154,10,51,0,111,175,78491
20149,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - Chatham Municipal - CQX,chatham,Barnstable,Massachusetts,144000.0,BIL,Both,Y,P-22261,0600000US2500112995,6594,6419,6093,154,10,51,0,111,175,78491
14648,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Resilience,Resilience,"CHATHAM STAGE HARBOR, CHATHAM, MA",chatham,Barnstable,Massachusetts,200000.0,BIL,Discretionary,Y,P-15389,0600000US2500112995,6594,6419,6093,154,10,51,0,111,175,78491
3438,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Operation and Maintenance (No-Year),Transportation,Ports and Waterways,"Chatham (Stage) Harbor, MA",chatham,Barnstable,Massachusetts,500000.0,BIL,Discretionary,Y,P-3438,0600000US2500112995,6594,6419,6093,154,10,51,0,111,175,78491
12686,Department of Energy,Energy Efficiency and Renewable Energy,Wind Energy Tech Recycling Research & Development,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,"Small Business Innovative Research Phase III: Triton Systems, Inc.",chelmsford,Middlesex,Massachusetts,1070000.0,BIL,Discretionary,Y,P-13212,0600000US2501713135,36392,34384,28768,896,32,4071,3,614,2008,117582
27045,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,chelmsford,Middlesex,Massachusetts,76320.0,BIL,Both,N,A-7086,0600000US2501713135,36392,34384,28768,896,32,4071,3,614,2008,117582
27046,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,chelsea,Suffolk,Massachusetts,76360.0,BIL,Both,N,A-7087,0600000US2502513205,40787,34299,11183,2996,576,1339,16,18189,6488,60370
16576,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Chelsea SS4A Action Plan,chelsea,Suffolk,Massachusetts,280000.0,BIL,Discretionary,Y,P-17672,0600000US2502513205,40787,34299,11183,2996,576,1339,16,18189,6488,60370
27047,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,chicopee,Hampden,Massachusetts,116600.0,BIL,Both,N,A-7088,0600000US2501313660,55560,49508,39947,2664,200,941,43,5713,6052,52702
16577,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,The Chicopee Initiative to Plan for and Implement Complete and Safe Streets for All,chicopee,Hampden,Massachusetts,320000.0,BIL,Discretionary,Y,P-17673,0600000US2501313660,55560,49508,39947,2664,200,941,43,5713,6052,52702
49543,Environmental Protection Agency,State and Tribal Assistance Grants,Brownfields Projects,Environmental Remediation,Environmental Remediation,Brownfields Cleanup Grants,clinton,Worcester,Massachusetts,500000.0,BIL,Discretionary,Y,,0600000US2502714395,15428,13498,11359,431,138,248,2,1320,1930,75455
,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Clinton Safe Streets for All Planning and Demonstration Projects Program,clinton,Worcester,Massachusetts,356204.0,BIL,Discretionary,,,0600000US2502714395,15428,13498,11359,431,138,248,2,1320,1930,75455
43195,Department of Energy,Energy Efficiency and Renewable Energy,Clean Hydrogen Electrolysis Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Clean Hydrogen Electrolysis Program - Plug Power Inc,concord,Middlesex,Massachusetts,3200000.0,BIL,Discretionary,Y,P-24450,0600000US2501715060,18491,17191,15337,482,3,1171,4,194,1300,160392
18802,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Concord,concord,Middlesex,Massachusetts,168850.0,BIL,Formula,Y,P-20758,0600000US2501715060,18491,17191,15337,482,3,1171,4,194,1300,160392
CONT_AWD_6973GH24F00788_6920_6973GH22D00014_6920,Department of Transportation,Federal Aviation Administration,Facilities and Equipment,Transportation,Airports and Federal Aviation Administration Facilities,"BIL: Issue Funding For Installation of Indoor EG and Erms at Cummington, MA (Qha) Arsr Jcn: 24011157",cummington,Hampshire,Massachusetts,227479.94,BIL,Discretionary,USAspending,,0600000US2501516040,829,780,769,4,0,3,0,4,49,72250
CONT_AWD_6973GH24F00389_6920_6973GH22D00007_6920,Department of Transportation,Federal Aviation Administration,Facilities and Equipment,Transportation,Airports and Federal Aviation Administration Facilities,"BIL Funds. Ups Installation. Jcn:18066554, Qha Arsr, Cummington Ma. Construction Cost of Ups and the Ups Ancillary Equipment Removal and Installation at (Qha) Arsr Per RFQ-24-08 Bid Package.",cummington,Hampshire,Massachusetts,170884.29,BIL,Discretionary,USAspending,,0600000US2501516040,829,780,769,4,0,3,0,4,49,72250
41659,Department of Agriculture,Rural Business-Cooperative Service,Rural Energy for America Program (REAP),"Clean Energy, Buildings, and Manufacturing",Clean Energy,Rural Energy for America Technical Assistance Grant,dalton,Berkshire,Massachusetts,499363.0,IRA,Discretionary,Y,IRA-5840,0600000US2500316180,6330,6039,5852,61,7,61,0,58,291,73942
15581,Department of Homeland Security,Federal Emergency Management Agency,Building Resilient Infrastructure and Communities (Robert T Stafford Act Section 203(i)),Resilience,Resilience,Danvers â€“ Crane River Shoreline Restoration Analysis,danvers,Essex,Massachusetts,43556.0,BIL,Formula,Y,P-16577,0600000US2500916250,28087,26668,24809,561,38,655,6,599,1419,99269
48942,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,danvers,Essex,Massachusetts,1380000.0,BIL,Discretionary,Y,,0600000US2500916250,28087,26668,24809,561,38,655,6,599,1419,99269
16958,Department of Commerce,National Oceanic and Atmospheric Administration,National Coastal Resilience Fund,Resilience,Resilience,Designing Buttonwood Brook Dam Removal and Riparian Restoration,dartmouth,Bristol,Massachusetts,495000.0,BIL,Discretionary,Y,P-18054,0600000US2500516425,33783,31762,28909,1059,47,853,1,893,2021,85783
7995,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Dedham Comprehensive Local Roads Safety Plan,dedham,Norfolk,Massachusetts,207841.0,BIL,Discretionary,Y,P-8212,0600000US2502116495,25364,23728,20132,1583,59,962,6,986,1636,101780
18615,Department of Transportation,Federal Highway Administration,Charging and Fueling Infrastructure Grants (Community Charging),Transportation,"Electric Vehicles, Buses, and Ferries",Town of Deerfield: Public Access EV Charging,deerfield,Franklin,Massachusetts,2462612.0,BIL,Discretionary,Y,P-20566,0600000US2501116670,5090,4774,4421,94,12,81,3,163,316,87015
41231,Department of Agriculture,Rural Business-Cooperative Service,Rural Energy for America Program (REAP),"Clean Energy, Buildings, and Manufacturing",Clean Energy,"Rural Energy for America Program, Renewable Energy Systems and Energy Efficiency Improvement Support",deerfield,Franklin,Massachusetts,155598.0,IRA,Discretionary,Y,IRA-5412,0600000US2501116670,5090,4774,4421,94,12,81,3,163,316,87015
CONT_AWD_6973GH23F01596_6920_6973GH22D00010_6920,Department of Transportation,Federal Aviation Administration,Facilities and Equipment,Transportation,Airports and Federal Aviation Administration Facilities,"Construction For Eld Program Office at East Boston, MA Jcn 18029589",boston,Suffolk,Massachusetts,2578647.95,BIL,Discretionary,USAspending,,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
42844,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Recapitalization",Green and Resilient Retrofit Program - Comprehensive Cohort,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,Lewis Mall Apartments,boston,Suffolk,Massachusetts,3760000.0,IRA,Discretionary,Y,IRA-7023,0600000US2502507000,675647,604446,318101,138870,2824,76021,356,68274,71201,76298
15584,Department of Homeland Security,Federal Emergency Management Agency,Building Resilient Infrastructure and Communities (Robert T Stafford Act Section 203(i)),Resilience,Resilience,River Street and Parking Lot Scoping,weymouth,Norfolk,Massachusetts,186750.0,BIL,Formula,Y,P-16580,0600000US2502178972,57437,53589,44958,2789,107,4006,13,1716,3848,85536
3441,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Operation and Maintenance (No-Year),Transportation,Ports and Waterways,"Essex River, MA",essex,Essex,Massachusetts,4425000.0,BIL,Discretionary,Y,P-3441,0600000US2500921850,3675,3526,3431,18,1,38,0,38,149,109323
43409,Department of Transportation,Federal Highway Administration,Reconnecting Communities Pilot Program,Transportation,"Roads, Bridges, and Major Projects",Uniting Neighborhoods and Transit Opportunities in Everett,everett,Middlesex,Massachusetts,1200000.0,BIL,Discretionary,Y,P-24580,0600000US2501721990,49075,40641,18352,7189,326,3712,15,11047,8434,70627
16578,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,"Everett, MA Planning and Demonstration Activities",everett,Middlesex,Massachusetts,90720.0,BIL,Discretionary,Y,P-17674,0600000US2501721990,49075,40641,18352,7189,326,3712,15,11047,8434,70627
27048,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,everett,Suffolk,Massachusetts,76560.0,BIL,Both,N,A-7089,0600000US2501721990,49075,40641,18352,7189,326,3712,15,11047,8434,70627
50471,Department of Transportation,DOT Office of the Secretary,Local and Regional Project Assistance Grants (RAISE),Transportation,"Roads, Bridges, and Major Projects",Lower Broadway Everett Transit Priority Corridor Project,everett,Suffolk,Massachusetts,22400000.0,BIL,Discretionary,N,,0600000US2501721990,49075,40641,18352,7189,326,3712,15,11047,8434,70627
6011,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Fall River,fall river,Bristol,Massachusetts,3895000.0,BIL,Discretionary,Y,P-6173,0600000US2500523000,94000,83535,68960,5281,350,2502,28,6414,10465,46007
27049,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,fall river,Bristol,Massachusetts,145730.0,BIL,Both,N,A-7090,0600000US2500523000,94000,83535,68960,5281,350,2502,28,6414,10465,46007
ASST_NON_693JJ22330000Y800MA003S191_6925,Department of Transportation,Federal Highway Administration,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",Resilience,Resilience,Fall River- Corridor Improvements on Route 79/DAVOL Street,fall river,Bristol,Massachusetts,15200000.0,BIL,Formula,USAspending,,0600000US2500523000,94000,83535,68960,5281,350,2502,28,6414,10465,46007
38365,Department of Agriculture,Forest Service,Urban and Community Forestry Assistance Program,Parks and Conservation,Parks and Conservation,Fall River Urban Tree Canopy Expansion Initiative,fall river,Bristol,Massachusetts,1000000.0,IRA,Both,Y,IRA-2513,0600000US2500523000,94000,83535,68960,5281,350,2502,28,6414,10465,46007
48943,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,fall river,Bristol,Massachusetts,3450000.0,BIL,Discretionary,Y,,0600000US2500523000,94000,83535,68960,5281,350,2502,28,6414,10465,46007
12077,Department of the Interior,Fish and Wildlife Service,Ecosystem - Fish Passage,Resilience,Resilience,Upper Coonamessett River Wetland Complex Restoration,falmouth,Barnstable,Massachusetts,1052500.0,BIL,Discretionary,Y,P-12595,0600000US2500123105,32517,30281,28221,676,184,543,10,647,2236,75548
4728,Department of Transportation,Federal Highway Administration,Construction of Ferry Boats and Ferry Terminal Facilities,Transportation,Ports and Waterways,Ferry Boat Program - Woods Hole Martha's Vineyard and Nantucket Steamship Authority,falmouth,Barnstable,Massachusetts,3358745.0,BIL,Formula,Y,P-4732,0600000US2500123105,32517,30281,28221,676,184,543,10,647,2236,75548
50143,Department of Commerce,National Oceanic and Atmospheric Administration,Investing in Coastal Communities and Climate Resilience,Resilience,Climate Resilience,"Optimization of PhytO-ARM harmful algal bloom sensing for low-bandwidth, satellite-based telemetry",falmouth,Barnstable,Massachusetts,1197911.0,IRA,Discretionary,N,,0600000US2500123105,32517,30281,28221,676,184,543,10,647,2236,75548
38163,Department of Commerce,National Oceanic and Atmospheric Administration,Investing in Coastal Communities and Climate Resilience,Resilience,Climate Resilience,Assessing the laboratory and field responses of diatoms and coccolithophores to ocean alkalinity enhancement,falmouth,Barnstable,Massachusetts,1026045.0,IRA,Discretionary,N,IRA-2310,0600000US2500123105,32517,30281,28221,676,184,543,10,647,2236,75548
1669,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - Fitchburg Municipal - FIT,fitchburg,Worcester,Massachusetts,295000.0,BIL,Both,Y,P-1669,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
20150,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - Fitchburg Municipal - FIT,fitchburg,Worcester,Massachusetts,294000.0,BIL,Both,Y,P-22262,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
10249,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - Fitchburg Municipal - FIT,fitchburg,Worcester,Massachusetts,292000.0,BIL,Both,Y,P-10502,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
15583,Department of Homeland Security,Federal Emergency Management Agency,Building Resilient Infrastructure and Communities (Robert T Stafford Act Section 203(i)),Resilience,Resilience,Blue/Green Downtown Fitchburg,fitchburg,Worcester,Massachusetts,187500.0,BIL,Formula,Y,P-16579,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
27050,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,fitchburg,Worcester,Massachusetts,76400.0,BIL,Both,N,A-7091,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
49673,General Services Administration,Real Property Activities,General Services Administration Emerging Technologies,"Clean Energy, Buildings, and Manufacturing",Clean Buildings and Homes,Philip J Philbin Fed Bldg heat pump system and quad pane windows installation,fitchburg,Worcester,Massachusetts,14300000.0,IRA,Discretionary,Y,,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Opening the Gateway City: Retrofitting Systemic Accessibility and Safety into Fitchburg,fitchburg,Worcester,Massachusetts,339036.0,BIL,Discretionary,,,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
48944,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,fitchburg,Worcester,Massachusetts,6210000.0,BIL,Discretionary,Y,,0600000US2502723875,41946,36012,25311,3032,256,1531,16,5866,5934,54683
4569,Environmental Protection Agency,State and Tribal Assistance Grants,Brownfields Projects,Environmental Remediation,Environmental Remediation,"Brownfields Project - Framingham, City of",framingham,Middlesex,Massachusetts,500000.0,BIL,Discretionary,Y,P-4573,0600000US2501724960,72362,62436,40685,4517,338,5267,26,11603,9926,86322
27051,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,framingham,Middlesex,Massachusetts,132170.0,BIL,Both,N,A-7092,0600000US2501724960,72362,62436,40685,4517,338,5267,26,11603,9926,86322
12505,Environmental Protection Agency,State and Tribal Assistance Grants,Brownfields Projects,Environmental Remediation,Environmental Remediation,Nu-Style Jewelry Factory Brownfield Cleanup Grant,franklin,Norfolk,Massachusetts,500000.0,BIL,Discretionary,Y,P-13023,0600000US2502125172,33261,31613,28602,668,29,1837,19,458,1648,118193
10250,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - Gardner Municipal - GDM,gardner,Worcester,Massachusetts,113000.0,BIL,Both,Y,P-10503,0600000US2502725485,21287,19446,17317,778,60,401,8,882,1841,51708
20151,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - Gardner Municipal - GDM,gardner,Worcester,Massachusetts,113000.0,BIL,Both,Y,P-22263,0600000US2502725485,21287,19446,17317,778,60,401,8,882,1841,51708
1670,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - Gardner Municipal - GDM,gardner,Worcester,Massachusetts,110000.0,BIL,Both,Y,P-1670,0600000US2502725485,21287,19446,17317,778,60,401,8,882,1841,51708
ASST_NON_00A00885_6800,Environmental Protection Agency,Environmental Protection Agency,Geographic Programs - Long Island Sound,Clean Water,Water,Geographic Programs - Long Island Sound - Massachusetts Department of Environmental Protection,gardner,Worcester,Massachusetts,10500000.0,BIL,Discretionary,USAspending,,0600000US2502725485,21287,19446,17317,778,60,401,8,882,1841,51708
50410,Department of Transportation,DOT Office of the Secretary,Local and Regional Project Assistance Grants (RAISE),Transportation,"Roads, Bridges, and Major Projects",Gardner Downtown Mobility Plan,gardner,Worcester,Massachusetts,1253500.0,BIL,Discretionary,N,,0600000US2502725485,21287,19446,17317,778,60,401,8,882,1841,51708
16579,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Gardner Vision Zero and Supplemental Safety Action Plan,gardner,Worcester,Massachusetts,230000.0,BIL,Discretionary,Y,P-17675,0600000US2502725485,21287,19446,17317,778,60,401,8,882,1841,51708
18799,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Gloucester,gloucester,Essex,Massachusetts,242400.0,BIL,Formula,Y,P-20755,0600000US2500926150,29729,28086,26489,331,75,334,20,837,1643,76260
43260,Department of Energy,Energy Efficiency and Renewable Energy,Industrial Research and Assessment Center Implementation Grants,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,Industrial Research and Assessment Center Implementation Grants - City of Gloucester,gloucester,Essex,Massachusetts,300000.0,BIL,Discretionary,Y,P-24514,0600000US2500926150,29729,28086,26489,331,75,334,20,837,1643,76260
40906,Department of Commerce,National Oceanic and Atmospheric Administration,Investing in Coastal Communities and Climate Resilience,Resilience,Climate Resilience,Fisheries management in a changing climate,gloucester,Essex,Massachusetts,375000.0,IRA,Discretionary,Y,IRA-5087,0600000US2500926150,29729,28086,26489,331,75,334,20,837,1643,76260
48945,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,gloucester,Essex,Massachusetts,1200000.0,BIL,Discretionary,Y,,0600000US2500926150,29729,28086,26489,331,75,334,20,837,1643,76260
3439,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Operation and Maintenance (No-Year),Transportation,Ports and Waterways,"Cuttyhunk Harbor, MA",gosnold,Dukes,Massachusetts,1800000.0,BIL,Discretionary,Y,P-3439,0600000US2500726325,70,65,61,3,0,0,0,1,5,69167
18801,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Great Barrington Fire District,great barrington,Berkshire,Massachusetts,191000.0,BIL,Formula,Y,P-20757,0600000US2500326815,7172,6670,5907,182,38,211,2,330,502,56250
47151,Department of Agriculture,Rural Business-Cooperative Service,Rural Energy for America Program (REAP),"Clean Energy, Buildings, and Manufacturing",Clean Energy,Rural Energy for America Program (REAP) - VERDANT DELTA LLC,great barrington,Berkshire,Massachusetts,93868.0,IRA,Discretionary,Y,,0600000US2500326815,7172,6670,5907,182,38,211,2,330,502,56250
14423,Environmental Protection Agency,State and Tribal Assistance Grants,Solid Waste Infrastructure for Recycling Infrastructure Grants,Environmental Remediation,Environmental Remediation,Solid Waste Infrastructure for Recycling Infrastructure Grants - City of Greenfield,greenfield,Franklin,Massachusetts,2055330.0,BIL,Discretionary,Y,P-15137,0600000US2501127060,17768,16368,15054,440,46,290,4,534,1400,46250
40741,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Nashua River Watershed Association Inc.,groton,Middlesex,Massachusetts,500000.0,IRA,Discretionary,Y,IRA-4895,0600000US2501727480,11315,10656,9761,145,14,583,4,149,659,142500
44967,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Groveland,groveland,Essex,Massachusetts,147885.0,BIL,Formula,Y,,0600000US2500927620,6752,6472,6290,37,7,67,6,65,280,111056
